,city,day,convrate,avspend,visits,Gsearchprod,online_purchases,sales
0,Milan,2018-10-15,0.47700000000000004,60.04,35820,9324,17086.140000000003,1025851.8456000001
1,Rome,2018-10-15,0.46299999999999997,47.74,15830,4810,7329.289999999999,349900.3046
2,Naples,2018-10-15,0.613,26.14,22428,605,13748.364,359382.23496
3,Milan,2018-10-16,0.456,67.34,35929,9208,16383.624,1103273.24016
4,Rome,2018-10-16,0.58,34.76,15474,4730,8974.92,311968.2192
5,Naples,2018-10-16,0.525,31.46,22515,602,11820.375,371868.9975
6,Milan,2018-10-17,0.721,43.48,35713,9205,25749.073,1119569.69404
7,Rome,2018-10-17,0.527,38.34,15266,4702,8045.182000000001,308452.27788000007
8,Naples,2018-10-17,0.507,31.58,22584,713,11450.088,361593.77904
9,Milan,2018-10-18,0.42700000000000005,70.71,35612,9230,15206.324000000002,1075239.17004
10,Rome,2018-10-18,0.66,29.0,15333,4879,10119.78,293473.62
11,Naples,2018-10-18,0.469,33.97,22634,607,10615.346,360603.30361999996
12,Milan,2018-10-19,0.614,49.44,35412,9167,21742.968,1074972.33792
13,Rome,2018-10-19,0.654,30.22,15475,4693,10120.65,305846.043
14,Naples,2018-10-19,0.414,42.25,22658,819,9380.412,396322.407
15,Milan,2018-10-20,0.5820000000000001,55.13,35432,9142,20621.424000000003,1136859.1051200002
16,Rome,2018-10-20,0.43700000000000006,43.89,15599,4855,6816.763000000001,299187.72807
17,Naples,2018-10-20,0.605,22.04,23016,751,13924.68,306899.9472
18,Milan,2018-10-21,0.365,77.2,35592,9182,12991.08,1002911.376
19,Rome,2018-10-21,0.563,37.5,15790,4802,8889.769999999999,333366.37499999994
20,Naples,2018-10-21,0.733,24.56,23430,622,17174.19,421798.10639999993
21,Milan,2018-10-22,0.495,59.68,35373,9195,17509.635,1044975.0167999999
22,Rome,2018-10-22,0.708,30.26,15573,4665,11025.684,333637.19784
23,Naples,2018-10-22,0.6659999999999999,23.16,23390,830,15577.739999999998,360780.45839999994
24,Milan,2018-10-23,0.7390000000000001,38.02,35405,9186,26164.295000000002,994766.4959000001
25,Rome,2018-10-23,0.361,53.72,15527,4907,5605.246999999999,301113.86883999995
26,Naples,2018-10-23,0.48,31.12,23477,620,11268.96,350690.0352
27,Milan,2018-10-24,0.442,67.31,35357,9115,15627.794,1051906.81414
28,Rome,2018-10-24,0.604,33.94,15583,4732,9412.132,319447.76008
29,Naples,2018-10-24,0.442,37.59,23606,640,10433.852,392208.49668000004
30,Milan,2018-10-25,0.493,65.04,35213,9189,17360.009,1129094.98536
31,Rome,2018-10-25,0.7240000000000001,27.32,15472,4715,11201.728000000001,306031.20896
32,Naples,2018-10-25,0.614,23.76,23450,666,14398.3,342103.608
33,Milan,2018-10-26,0.6940000000000001,44.37,35341,9133,24526.654000000002,1088247.63798
34,Rome,2018-10-26,0.59,33.51,15824,4833,9336.16,312854.7216
35,Naples,2018-10-26,0.5329999999999999,31.72,23394,756,12469.001999999999,395516.74343999993
36,Milan,2018-10-27,0.728,43.01,35400,9164,25771.2,1108419.312
37,Rome,2018-10-27,0.569,32.59,15801,4857,8990.768999999998,293009.16170999996
38,Naples,2018-10-27,0.441,37.44,23380,646,10310.58,386028.1152
39,Milan,2018-10-28,0.63,48.78,35592,9210,22422.96,1093791.9888
40,Rome,2018-10-28,0.657,29.31,15748,4758,10346.436,303254.03916
41,Naples,2018-10-28,0.41600000000000004,37.22,23808,792,9904.128,368631.64416
42,Milan,2018-10-29,0.38,83.22,35683,9247,13559.54,1128424.9188
43,Rome,2018-10-29,0.604,35.12,15955,4988,9636.82,338445.1184
44,Naples,2018-10-29,0.368,45.67,23595,539,8682.96,396550.78319999995
45,Milan,2018-10-30,0.475,68.16,35646,9172,16931.85,1154074.896
46,Rome,2018-10-30,0.532,37.63,15623,4809,8311.436,312759.33668
47,Naples,2018-10-30,0.449,32.0,23781,652,10677.669,341685.408
48,Milan,2018-10-31,0.541,53.65,35441,9143,19173.581000000002,1028662.62065
49,Rome,2018-10-31,0.552,37.1,15584,4849,8602.368,319147.85280000005
50,Naples,2018-10-31,0.57,27.04,23609,507,13457.13,363880.7952
51,Milan,2018-11-01,0.648,48.74,35460,9214,22978.08,1119951.6192
52,Rome,2018-11-01,0.457,42.77,15813,4911,7226.541,309079.15857
53,Naples,2018-11-01,0.519,33.06,23530,698,12212.07,403731.0342
54,Milan,2018-11-02,0.386,79.59,35367,9249,13651.662,1086535.7785800002
55,Rome,2018-11-02,0.534,40.91,15539,4791,8297.826000000001,339464.06166
56,Naples,2018-11-02,0.5,34.87,23691,742,11845.5,413052.58499999996
57,Milan,2018-11-03,0.37200000000000005,80.38,35350,9146,13150.200000000003,1057013.0760000001
58,Rome,2018-11-03,0.43799999999999994,46.08,15568,4822,6818.783999999999,314209.56671999994
59,Naples,2018-11-03,0.434,41.17,23675,794,10274.95,423019.6915000001
60,Milan,2018-11-04,0.649,44.35,35802,9257,23235.498,1030494.3363
61,Rome,2018-11-04,0.591,36.15,15769,4679,9319.479,336899.16585
62,Naples,2018-11-04,0.426,37.68,23817,601,10146.042,382302.86256
63,Milan,2018-11-05,0.382,77.34,35830,9242,13687.06,1058557.2204
64,Rome,2018-11-05,0.39899999999999997,55.32,15860,4738,6328.139999999999,350072.70479999995
65,Naples,2018-11-05,0.647,23.25,23787,746,15390.189,357821.89425
66,Milan,2018-11-06,0.47700000000000004,63.53,35833,9262,17092.341,1085876.4237300002
67,Rome,2018-11-06,0.43,47.69,15867,4921,6822.8099999999995,325379.80889999995
68,Naples,2018-11-06,0.745,22.02,23775,583,17712.375,390026.4975
69,Milan,2018-11-07,0.467,67.89,35532,9179,16593.444,1126528.91316
70,Rome,2018-11-07,0.602,32.68,15555,4781,9364.11,306019.11480000004
71,Naples,2018-11-07,0.623,28.1,23953,739,14922.719,419328.4039
72,Milan,2018-11-08,0.722,43.26,35440,9206,25587.68,1106923.0368
73,Rome,2018-11-08,0.41100000000000003,45.63,15666,4938,6438.726000000001,293799.06738
74,Naples,2018-11-08,0.449,35.96,23578,643,10586.522,380691.33112000005
75,Milan,2018-11-09,0.415,69.6,35374,9271,14680.21,1021742.6159999998
76,Rome,2018-11-09,0.639,35.04,15720,4796,10045.08,351979.6032
77,Naples,2018-11-09,0.7340000000000001,20.46,23678,892,17379.652000000002,355587.67992
