day,convrate,avspend,visits,Gsearchprod,online_purchases,sales
2018-10-15,1.553,133.92000000000002,74078,14739,38163.794,1735134.38516
2018-10-16,1.561,133.56,73918,14540,37178.919,1787110.45686
2018-10-17,1.755,113.39999999999999,73563,14620,45244.34300000001,1789615.7509599999
2018-10-18,1.556,133.68,73579,14716,35941.450000000004,1729316.0936599998
2018-10-19,1.682,121.91,73545,14679,41244.03,1777140.78792
2018-10-20,1.624,121.06,74047,14748,41362.867000000006,1742946.7803900002
2018-10-21,1.661,139.26,74812,14606,39055.03999999999,1758075.8573999999
2018-10-22,1.8689999999999998,113.1,74336,14690,44113.058999999994,1739392.6730399998
2018-10-23,1.58,122.86000000000001,74409,14713,43038.502,1646570.3999400001
2018-10-24,1.488,138.84,74546,14487,35473.778,1763563.0709
2018-10-25,1.831,116.12000000000002,74135,14570,42960.037,1777229.80232
2018-10-26,1.817,109.6,74559,14722,46331.816,1796619.10302
2018-10-27,1.738,113.03999999999999,74581,14667,45072.549,1787456.58891
2018-10-28,1.7029999999999998,115.31,75148,14760,42673.524000000005,1765677.6721199998
2018-10-29,1.3519999999999999,164.01,75233,14774,31879.32,1863420.8204
2018-10-30,1.4560000000000002,137.79,75050,14633,35920.955,1808519.64068
2018-10-31,1.6629999999999998,117.78999999999999,74634,14499,41233.079,1711691.2686500002
2018-11-01,1.624,124.57000000000001,74803,14823,42416.691000000006,1832761.8119700002
2018-11-02,1.42,155.37,74597,14782,33794.988,1839052.4252400002
2018-11-03,1.244,167.63,74593,14762,30243.934,1794242.33422
2018-11-04,1.666,118.18,75388,14537,42701.019,1749696.36471
2018-11-05,1.428,155.91,75477,14726,35405.388999999996,1766451.8194499998
2018-11-06,1.6520000000000001,133.24,75475,14766,41627.526,1801282.73013
2018-11-07,1.692,128.67,75040,14699,40880.273,1851876.4318600001
2018-11-08,1.582,124.85,74684,14787,42612.928,1781413.4352999998
2018-11-09,1.7880000000000003,125.1,74772,14959,42104.942,1729309.8991199997
2018-11-10,1.561,137.56,74953,14777,35969.72,1719751.7482800002
2018-11-11,1.3610000000000002,143.19,75563,14850,33481.564,1732233.38178
2018-11-12,1.8150000000000002,106.8,75048,14757,45486.888000000006,1745955.95028
2018-11-13,1.7280000000000002,123.69000000000001,75466,14949,45892.091,1740264.24973
2018-11-14,1.818,106.36999999999999,75265,14863,46482.671,1722179.3998700003
2018-11-15,2.144,96.35,75192,14550,53661.079999999994,1821720.9818399998
2018-11-16,1.3279999999999998,153.57,75049,14773,33522.907999999996,1810647.48292
2018-11-17,1.737,115.19,74950,14776,46407.828,1788619.6976400004
2018-11-18,1.6789999999999998,124.53,75658,14792,39893.51,1765934.2059500003
2018-11-19,1.487,128.2,75558,14742,38684.42999999999,1724093.66147
2018-11-20,1.624,125.15,75098,14856,39861.318,1731904.6287399998
2018-11-21,1.6509999999999998,133.82,74963,14785,39783.235,1734325.18648
2018-11-22,1.577,133.54,74811,14821,38746.399000000005,1785687.22242
2018-11-23,1.548,145.34,74860,14835,39493.13399999999,1819096.8394799998
2018-11-24,2.016,102.10999999999999,74904,14738,51344.027,1840135.4269899998
2018-11-25,1.9509999999999998,102.87,75217,14884,49134.217000000004,1790661.1455800002
2018-11-26,1.506,133.82,74943,14920,38211.204,1763303.52712
2018-11-27,1.666,117.66,74703,14725,41566.417,1736749.71822
2018-11-28,1.7360000000000002,137.38,75008,14869,40090.988,1797936.2662799996
2018-11-29,2.011,100.82,74775,14877,51876.20800000001,1802226.3286400002
2018-11-30,1.459,131.86,75218,14998,38837.585999999996,1695069.01426
2018-12-01,1.4909999999999999,138.14,75670,15088,40099.648,1796081.7026000002
2018-12-02,1.494,137.05,75914,15007,36247.356,1749719.3594399998
2018-12-03,1.7440000000000002,124.83999999999999,75374,14730,40788.568,1745963.6896799998
2018-12-04,1.605,134.92,75577,15066,41801.546,1851925.8482599999
2018-12-05,1.517,127.28,75391,14887,38659.384000000005,1740798.8996800003
